CODIGO SISTEMA ,CENCO,EAN ,DUN,TIPO PRODUCTOS ,CAP. CAJA,MARCA,CAJA,INSUMO,BOLSA,CODIGO,ALTO (CM),ANCHO (CM),LARGO (CM),PESO (GR)
DRBIO-00639,1841264,7805475006396,17805475006393,VASO CAFE 240CC 20 UN PLA BIO DROP IT,30,X,ORIGEN/1/K60,VASO 8OZ BLANCO COMPOSTABLE (GREEN CUP),15X35,32X22,38,27,41,5300
DRBIO-00640,1841265,7805475006402,17805475006409,VASO CAFE 180 CC 6 UN PLA BIO DROP IT,120,X,ORIGEN/1/K60,VASO 6OZ BLANCO ECO MERKAT/ECO UNIMARC,15X30,32X22,45,38,45,4600
DRBIO-00641,1841266,7805475006419,17805475006416,VASO CAFE 180 CC 20 UN PLA BIO DROP IT,30,X,ORIGEN/1/K60,VASO 6OZ BLANCO ECO MERKAT/ECO UNIMARC,15X35,32X22,38,27,41,2950
JT-VLG0 CAJA,1566312,7898509280794,,VELA CUMPLEAÑOS GLIT N°0,12,DROP IT,ORIGEN,X,X,X,8,10,20,282
JT-VLG1 CAJA,1566313,7898509280800,,VELA CUMPLEAÑOS GLIT N°1,12,DROP IT,ORIGEN,X,X,X,8,10,20,211
JT-VLG2 CAJA,1566314,7898509283269,,VELA CUMPLEAÑOS GLIT N°2,12,DROP IT,ORIGEN,X,X,X,8,10,20,265
JT-VLG3 CAJA,1566315,7898509280817,,VELA CUMPLEAÑOS GLIT N°3,12,DROP IT,ORIGEN,X,X,X,8,10,20,257
JT-VLG4 CAJA,1566316,7898509283061,,VELA CUMPLEAÑOS GLIT N°4,12,DROP IT,ORIGEN,X,X,X,8,10,20,233
JT-VLG5 CAJA,1566317,7898509282217,,VELA CUMPLEAÑOS GLIT N°5,12,DROP IT,ORIGEN,X,X,X,8,10,20,249
JT-VLG6 CAJA,1566318,7898509282224,,VELA CUMPLEAÑOS GLIT N°6,12,DROP IT,ORIGEN,X,X,X,8,10,20,285
JT-VLG7 CAJA,1566319,7898509282231,,VELA CUMPLEAÑOS GLIT N°7,12,DROP IT,ORIGEN,X,X,X,8,10,20,231
JT-VLG8 CAJA,1566320,7898509283078,,VELA CUMPLEAÑOS GLIT N°8,12,DROP IT,ORIGEN,X,X,X,8,10,20,256
JT-VLG9 CAJA,1566321,7898509285393,,VELA CUMPLEAÑOS GLIT N°9,12,DROP IT,ORIGEN,X,X,X,8,10,20,261
JT-VLG? CAJA,1566322,7898509285409,,"VELA CUMPLEAÑOS GLIT ""?""",12,DROP IT,ORIGEN,X,X,X,8,10,20,231
JT-HF1024BN CAJA,283895,7805475210755,,VELA ELY LARGAS 24UN,12,ELY,ORIGEN,X,X,X,14,20,27,361
JT-HF1024BBLUE CAJA,461489,7805475000240,,VELA ELY CHICA AZUL,12,ELY,ORIGEN,X,X,X,8,15,10,358
JT-HF1024BN CAJA,461490,7805475000271,,VELA ELY CHICA NEON,12,ELY,ORIGEN,X,X,X,8,15,10,365
JT-HF1024BRED CAJA,461491,7805475000233,,VELA ELY CHICA ROJO,12,ELY,ORIGEN,X,X,X,8,15,10,376
